country,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4
Austria,70.2,0,0,0,70.9,71.4,71.3,70.6,70.7,71.6,71.7,71.7,70.7,71.7,71.6,71.4,70.9,72,72.1,72,71.3,72.3,72.5,71.9,68.4,69.8,70.3,69.8,69.2,70.5,71.2,70.6,70,71.7,72.7,71.9,71.6,72.8,73.9,73,72.9,74.3,74.3,73.8,72.7,73.6,73.9,73.5,72.7,74,74.6,74.3,73.2,74.4,74.9,74.1,73.4,74.7,75.1,74.5,73.7,75,75.3,74.3,73.2,74.6,74.8,74.1,73.4,74.2,75,74.5,73.7,74.9,75.5,75,74.2,75.7,75.9,75.8,75.2,76.3,76.7,76.3
Belgium,0,62.6,0,0,64.2,64.3,64.8,64.8,65.2,66.3,66.4,65.4,65.2,64.9,65.2,64.7,64.7,64.7,65.4,65.1,64.2,64.5,64.6,65.6,65.2,65.8,65.5,65.9,66.3,66.4,66.5,66.7,65.8,65.9,66.6,67.6,67.4,67.3,67.7,68.4,68.3,67.8,68,68.1,67.4,67.1,66.7,67.3,67.6,67.1,67.4,68.3,66.6,68,66.9,67.6,67,67.2,67.4,67.2,66.7,67.5,67.6,66.9,67,67.4,67.1,67.6,67.4,66.7,67.4,67.2,66.9,67.3,67.5,69,67.7,68.2,68.5,69.6,69.3,69,70.1,70.5
Bulgaria,0,0,0,0,0,0,0,0,54.1,56.5,56.2,54.5,53.5,55.8,56.4,53.6,53.8,56.5,57.2,55.6,55.5,58.7,59.9,58.1,57.1,61.2,62.3,59.9,58.7,62.4,64.2,62.2,61.6,65.6,66.8,66.3,66.1,68.3,69.4,69.7,69.2,70.5,71.7,71.3,68.9,69.5,69.5,67.5,63.8,65.1,65.8,64.1,61.7,62.6,64.4,63.1,61.1,62.6,64.8,63.4,61.7,63.6,65.3,63.6,63,65,66.9,65.5,65,66.6,68.8,68.1,66.5,68,68.5,67.7,68.6,71.7,73,72.1,71.1,72.6,73.5,72.5
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.9,0,58.9,0,58.4,0,58.3,0,59.7,0,59.4,0,59.8,0,60.1,0,59.4,0,61.7,62.3,63.9,65.5,64,62.7,65.3,67.3,64.5,63.5,64.9,64.7,63.8,62.5,61.5,62.2,62.3,60,59,60.9,59.5,57.2,59,60.2,56.1,55.4,57.8,58.3,57.3,57.1,59.4,61.6,58.8,59,61,62.1,60.5,59.4,62,62.9,61.4,60.5,63.8,65.6,64.4,63.6,65.8,66.3,65.2
Cyprus,0,0,0,0,0,70.2,0,0,0,72,0,0,0,74.1,0,0,0,75.1,0,0,0,75.4,0,0,0,75.7,75.1,74.8,74.2,74.7,74.5,74.2,74.4,75.8,76.5,76.7,75.8,77.3,76.9,77.1,76,77.1,76.4,76.7,74.8,75.8,75.3,75.2,74.1,75.3,75.2,75.4,74.3,74.5,72.7,72.1,70.3,70.7,70,69.8,67.4,67.3,67,67,66.3,67.8,67.9,68.4,67.2,68.7,67.6,68.3,66.7,69.8,69.2,69.4,68.6,71.1,71.9,71.5,71.5,74.9,74.6,74.5
Czechia,73.9,73.7,73.2,72.8,71.6,71.6,71.4,71.4,70.6,70.9,71.1,71.2,71.1,71.2,71.1,71.3,71,71.7,71.8,71.8,71,71,70.6,70.4,69.7,70.1,70.3,70.3,70,70.7,71.1,71,70.7,71.2,71.3,71.5,71.4,72,72.2,72.3,72,72.5,72.5,72.5,71.2,71,70.7,70.7,69.5,70.4,70.8,70.8,70.3,71,71.2,71.1,70.6,71.5,72,71.9,71.6,72.7,72.8,73,72.7,73.3,73.9,74.3,74,74.8,75.1,75.4,75.7,76.5,77,77.8,77.6,78.2,79,79.4,79.2,79.8,80.1,80.5
Denmark,0,76.9,0,0,77.3,77.9,78.1,77.3,77.3,77.9,78.3,78.2,77,78.2,78.8,79.1,77.4,78.3,77.7,77.5,76.8,77.4,77.9,77.2,76.2,78.1,78.5,77.6,77.3,77.5,78.3,78.8,78.9,79.2,79.7,79.6,78.7,79.1,79.3,78.9,78.9,79.9,80.6,79.6,77.9,77.8,78,76.3,75.4,75.9,76.4,75.7,75,75.8,76.3,75.8,75.3,75.5,75.6,75.3,75,76,76.1,75.3,74.4,75.9,76.7,76.4,75.9,76.4,76.7,76.8,77.1,77.7,77.7,77.1,75.9,76.8,77.7,77.3,77.3,78.5,78.6,78.4
Estonia,0,71.7,0,0,0,68.8,0,0,65.5,67.5,67.1,66.4,66.7,66.8,68,68,67.2,68.3,68.7,67.8,68.4,69.1,70.2,70.7,70.4,70.2,70.1,70.4,70.8,72.5,72.1,72.7,74.9,76.7,75.9,75.9,75.9,77.1,77.7,76.7,76.9,77.1,77.6,76.7,71.9,70.5,69.6,68,64.7,65.2,67.9,69.5,68.4,69.8,72.6,71.4,71,72.2,73.2,72.2,72.2,74.2,73.7,73.3,72.4,74.8,74.8,75.3,74.4,76.2,78.8,76.6,75.1,77.7,77.3,76.4,77.9,77.7,79.3,80.1,78.2,79.6,79.4,80.7
Finland,67.3,68.1,70.5,69,69.1,71.4,72,70.3,69.5,72.3,73.1,71.4,70.9,73.3,73.7,72.4,71.5,73.2,73.7,72,71.3,72.9,73.3,71.5,70.8,72.5,73.4,71.9,71.7,73.4,74,72.8,72.7,74.1,74.9,73.9,73.3,75.4,75.8,74.7,74.6,76.6,76.6,75.2,73.5,74.2,74,72.4,71.7,73.7,73.9,72.8,72.3,74.4,74.7,73.8,73.1,74.6,74.9,73.3,72.3,74.4,74.1,72.5,72,74,73.9,72.4,71.8,73.2,74,72.4,72.2,73.9,74.5,73,72.6,74.6,74.8,74.8,74.6,76.8,77.2,76.7
France,65.6,0,0,0,66.1,0,0,0,67.4,0,0,0,68.4,0,0,0,68.6,0,0,0,69.7,70,70.1,69.3,69.2,69.9,70,69.3,69.3,69.8,69.7,69,68.9,69.4,69.8,69.3,69.2,70.1,70.3,70,70.2,70.7,70.7,70.2,69.6,69.9,69.7,69,69,69.6,69.7,69.1,68.9,69.6,69.5,69,68.9,69.7,69.8,69.4,68.8,69.6,70,69.4,68.9,69.5,69.5,69.1,68.9,69.7,70,69.5,69.5,70.2,70.3,69.9,69.7,71,70.8,70.9,70.7,71.5,71.6,71.4
Germany (until 1990 former territory of the FRG),0,67,0,0,0,68.1,0,0,0,68.7,0,0,0,69.1,0,0,0,68.8,0,0,0,68.4,0,0,0,67.9,0,0,68.8,69.3,69.7,69.7,70,71.1,71.8,71.7,72,72.9,73.4,73.4,73.2,73.7,74.6,74.4,73.6,74.1,74,74.8,74.2,75,75.4,75.5,75.4,76.5,76.8,77.1,76.1,76.9,77.2,77.2,76.6,77.4,77.6,77.6,77.1,77.7,78.1,77.9,77.6,77.7,78.2,78.3,78,78.3,79,79.2,78.5,79,79.5,79.8,79.5,79.6,80.2,80.4
Greece,60.6,61.4,61.7,61.2,61.6,61.6,61.5,60.9,61.2,62.1,62.3,61.8,61.4,61.8,61.9,61,61.2,62.8,63.1,62.8,62.9,63.8,64,63.6,63.4,64.3,64.2,63.8,63.8,64.7,64.7,64.7,64.9,65.6,66.2,65.5,65.2,66,66.2,65.8,65.7,66.7,66.6,66.1,65.4,66,66.1,65,64.3,64.4,63.9,62.4,61,60.6,59.5,57.3,56.1,55.4,54.7,53.8,52.6,53.2,53.2,52.4,52.5,53.3,54.1,53.4,53.1,55.1,55.9,55.5,55.1,56.6,57.2,55.9,56.2,58.2,58.9,57.7,57.7,59.9,60.6,59.7
Hungary,0,58.3,0,0,59.7,60.5,61,61.1,60.5,60.9,61.6,61.9,61.1,61.1,61.7,61.3,61,61.4,61.6,61.7,61.3,62.4,62.8,62.8,61.9,62,62.2,62.3,61.7,62.2,62.6,62.4,62.1,62.8,62.8,62.9,62.1,62.5,62.6,62,61,61.4,62.2,61.6,59.9,60.3,60.1,60.1,59.1,59.9,60.5,60.2,59.2,60.4,61,61,60.1,61.5,62.6,62.3,60.9,62.9,63.8,64.3,65.6,66.3,67.5,67.5,67.3,68.7,69.7,69.7,70,71.4,72.1,72.6,72.1,73.2,73.8,73.9,73.8,74.5,74.6,74.7
Iceland,0,85.9,0,0,0,88.1,0,0,0,89.4,0,0,0,88.6,0,0,0,87.8,0,0,84,86,86,84.2,83.3,84.9,85.1,84.2,84.1,86.2,86.3,85.2,85.3,87,87.1,85.9,86.4,87.1,87.2,86,84.4,86.9,86,84,79.9,79.7,81.9,80.8,79.9,80.7,81.1,79.8,79.8,81.2,81.2,80.3,80,82.5,82.6,82,80.4,83.2,84.6,82.9,82.4,86.2,85.8,84.9,85.6,87.3,86.9,86.1,86.6,88.2,88.9,87.3,87.5,88.9,87.5,86.5,85.6,86.6,87.4,86.2
Ireland,0,65.6,0,0,0,68.2,69.6,69.4,69.6,70.1,71.2,70.7,70.5,70.8,71.9,71.1,70.6,70.8,71.2,70.4,70.2,70.4,70.9,70.9,71,71,71.8,71.9,72,72.4,73.3,72.8,73.1,73.2,73.8,73.7,75,75.2,75.4,74.9,74.4,74.2,73.2,72.1,69.3,68.3,67.5,66.8,65.8,66.1,65.5,64.7,64.2,65,64.4,64.7,63.9,64.5,64.5,64.9,65.1,66.2,66.9,67.6,67,67.7,68.6,69.2,69,69.7,70.1,70.7,70.4,71.1,71.8,72.2,72.3,72.7,73.3,73.6,73.5,74,74.4,74.6
Italy,54.9,55.6,56.2,56.1,55.7,56.3,56.8,56.8,56.2,57.1,58,58.3,57.9,58.2,59,59,58.9,59.2,59.7,59.7,59.4,60.1,60.4,60.3,60.9,61.7,61.8,62,61.2,61.8,61.3,61.8,61.8,62.9,62.4,62.6,61.9,62.9,63.1,62.9,62.4,63.3,63.1,62.6,61.5,62.2,61.5,61.2,60.7,61.3,60.8,61.1,60.9,61.3,61,61,60.6,61.3,60.9,60.7,59.6,59.8,59.7,59.8,59.3,59.9,60.2,60.2,59.7,60.6,61,60.9,60.6,62.1,61.9,61.7,61.6,62.5,62.7,62.6,62,63.5,63.3,63
Latvia,0,65.3,0,65.3,0,64.5,0,64.2,0,63.4,0,63.5,0,64.5,0,64.8,64.3,66.3,67.6,67.8,67.2,67.4,69.1,67.3,67.3,67.4,69,67.9,67.6,69,69.5,70.3,70.8,73,74.7,74.1,72.6,74.2,76.5,77.3,75.9,76.4,75.7,73.8,70.3,66.9,65.2,64.2,62.6,63.6,65.6,65.3,64.6,66.1,67.1,67.5,66.2,67.3,69.7,69.3,68.8,69.4,70.5,70.1,70.4,71.1,70.6,70.8,71.5,72.6,72.8,73.2,72.8,73.5,73.1,73.5,73.3,74.3,75.5,76,75.9,76.8,77.7,77
